t,DV,PV_Exp,PV_DV_FOPDTOPT,PV_DV_SOPDTOPT
8.200000000000000000e+01,1.000000000000000000e+00,1.200500000000000039e-01,1.213565688614294674e-01,1.212704383498673100e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.200500000000000039e-01,1.227569937992296911e-01,1.226750599452744311e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.200500000000000039e-01,1.241492938682815794e-01,1.240715071349501458e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.208500000000000824e-01,1.255335162067718335e-01,1.254598271414250898e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.232750000000001067e-01,1.269097076794047374e-01,1.268400669635152689e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.256750000000000367e-01,1.282779148789888746e-01,1.282122733704404993e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01,1.296381841280145053e-01,1.295764928969850016e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01,1.309905614802219509e-01,1.309327718395531248e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01,1.323350927221607631e-01,1.322811562529928597e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.288999999999999591e-01,1.336718233747399287e-01,1.336216919480786025e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01,1.350007986947689975e-01,1.349544244895589939e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.313249999999999973e-01,1.363220636764903293e-01,1.362793991946895933e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01,1.376356630531024583e-01,1.375966611321809974e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01,1.389416412982745763e-01,1.389062551215027586e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01,1.402400426276521894e-01,1.402082257324923642e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01,1.415309110003542259e-01,1.415026172852247299e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01,1.428142901204612070e-01,1.427894738501049032e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01,1.440902234384950076e-01,1.440688392481510871e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.377750000000000641e-01,1.453587541528898464e-01,1.453407570514404501e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.434000000000001107e-01,1.466199252114548657e-01,1.466052705836933534e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01,1.478737793128282185e-01,1.478624229209757057e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01,1.491203589079226066e-01,1.491122568925015157e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01,1.503597062013626307e-01,1.503548150815204043e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01,1.515918631529135363e-01,1.515901398262771149e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.474249999999999727e-01,1.528168714789019667e-01,1.528182732210318640e-01
