omega,gain_DV_FOPDTOPT,gain_DV_SOPDTOPT,phase_DV_FOPDTOPT,phase_DV_SOPDTOPT
1.207836642574723358e-04,-8.810006226828098974e+00,-8.814363700183777794e+00,-1.265295360806969471e+00,-1.261659545129316218e+00
1.209228155915791552e-04,-8.810010514353779243e+00,-8.814367963941950990e+00,-1.266752679989075814e+00,-1.263112679567584218e+00
1.210621272378765127e-04,-8.810014811759968367e+00,-8.814372237525905263e+00,-1.268211676754742667e+00,-1.264567486782031569e+00
1.212015993810551447e-04,-8.810019119069430360e+00,-8.814376520958264294e+00,-1.269672353031989553e+00,-1.266023968695186852e+00
1.213412322060191046e-04,-8.810023436304970090e+00,-8.814380814261710384e+00,-1.271134710751045560e+00,-1.267482127231783551e+00
1.214810258978849086e-04,-8.810027763489458152e+00,-8.814385117458986230e+00,-1.272598751844343123e+00,-1.268941964318748505e+00
1.216209806419828914e-04,-8.810032100645807773e+00,-8.814389430572884265e+00,-1.274064478246529131e+00,-1.270403481885221009e+00
1.217610966238563518e-04,-8.810036447796992576e+00,-8.814393753626241335e+00,-1.275531891894457592e+00,-1.271866681862538373e+00
1.219013740292628948e-04,-8.810040804966025263e+00,-8.814398086641961783e+00,-1.277000994727203631e+00,-1.273331566184254582e+00
1.220418130441736050e-04,-8.810045172175998474e+00,-8.814402429642985481e+00,-1.278471788686054156e+00,-1.274798136786128078e+00
1.221824138547742116e-04,-8.810049549450027939e+00,-8.814406782652319805e+00,-1.279944275714519852e+00,-1.276266395606135973e+00
1.223231766474649129e-04,-8.810053936811296893e+00,-8.814411145693007654e+00,-1.281418457758334517e+00,-1.277736344584470718e+00
1.224641016088602943e-04,-8.810058334283045411e+00,-8.814415518788168313e+00,-1.282894336765451948e+00,-1.279207985663539882e+00
1.226051889257904538e-04,-8.810062741888561533e+00,-8.814419901960954817e+00,-1.284371914686059934e+00,-1.280681320787978139e+00
1.227464387853002153e-04,-8.810067159651181257e+00,-8.814424295234580597e+00,-1.285851193472570264e+00,-1.282156351904639058e+00
1.228878513746503760e-04,-8.810071587594309861e+00,-8.814428698632315928e+00,-1.287332175079632712e+00,-1.283633080962606421e+00
1.230294268813170015e-04,-8.810076025741391703e+00,-8.814433112177479046e+00,-1.288814861464127048e+00,-1.285111509913188677e+00
1.231711654929924825e-04,-8.810080474115935090e+00,-8.814437535893443254e+00,-1.290299254585174360e+00,-1.286591640709928708e+00
1.233130673975854814e-04,-8.810084932741492736e+00,-8.814441969803636923e+00,-1.291785356404135943e+00,-1.288073475308603832e+00
1.234551327832207417e-04,-8.810089401641681306e+00,-8.814446413931543489e+00,-1.293273168884611080e+00,-1.289557015667224027e+00
1.235973618382402541e-04,-8.810093880840163649e+00,-8.814450868300694353e+00,-1.294762693992450586e+00,-1.291042263746042584e+00
1.237397547512024973e-04,-8.810098370360666564e+00,-8.814455332934688414e+00,-1.296253933695747929e+00,-1.292529221507549231e+00
1.238823117108836579e-04,-8.810102870226959482e+00,-8.814459807857154772e+00,-1.297746889964849881e+00,-1.294017890916482783e+00
1.240250329062769254e-04,-8.810107380462877558e+00,-8.814464293091802460e+00,-1.299241564772352531e+00,-1.295508273939824040e+00
1.241679185265936037e-04,-8.810111901092300357e+00,-8.814468788662386700e+00,-1.300737960093111045e+00,-1.297000372546806446e+00
1.243109687612629487e-04,-8.810116432139174947e+00,-8.814473294592712449e+00,-1.302236077904237455e+00,-1.298494188708913200e+00
1.244541837999321406e-04,-8.810120973627494578e+00,-8.814477810906634403e+00,-1.303735920185101094e+00,-1.299989724399879920e+00
1.245975638324672873e-04,-8.810125525581305794e+00,-8.814482337628081865e+00,-1.305237488917339261e+00,-1.301486981595703529e+00
1.247411090489527466e-04,-8.810130088024717310e+00,-8.814486874781019665e+00,-1.306740786084849004e+00,-1.302985962274633147e+00
1.248848196396924000e-04,-8.810134660981891130e+00,-8.814491422389478359e+00,-1.308245813673801328e+00,-1.304486668417186745e+00
1.250286957952088398e-04,-8.810139244477047882e+00,-8.814495980477543569e+00,-1.309752573672632092e+00,-1.305989102006141378e+00
1.251727377062446429e-04,-8.810143838534452598e+00,-8.814500549069352431e+00,-1.311261068072055336e+00,-1.307493265026544282e+00
1.253169455637616662e-04,-8.810148443178434263e+00,-8.814505128189090044e+00,-1.312771298865055281e+00,-1.308999159465707995e+00
1.254613195589421575e-04,-8.810153058433385809e+00,-8.814509717861019666e+00,-1.314283268046899433e+00,-1.310506787313221233e+00
1.256058598831885393e-04,-8.810157684323739247e+00,-8.814514318109438307e+00,-1.315796977615134367e+00,-1.312016150560945116e+00
1.257505667281234895e-04,-8.810162320873995867e+00,-8.814518928958710475e+00,-1.317312429569587939e+00,-1.313527251203016499e+00
1.258954402855908363e-04,-8.810166968108704921e+00,-8.814523550433252197e+00,-1.318829625912377512e+00,-1.315040091235854414e+00
1.260404807476549888e-04,-8.810171626052479610e+00,-8.814528182557536340e+00,-1.320348568647905063e+00,-1.316554672658157177e+00
1.261856883066021025e-04,-8.810176294729988200e+00,-8.814532825356092616e+00,-1.321869259782868067e+00,-1.318070997470912165e+00
