omega,gain_FOPDTOPT,gain_SOPDTOPT,gain_SOPDTVDG,gain_FOPDTStrejc,gain_FOPDTBR,gain_FOPDTBR2,phase_FOPDTOPT,phase_SOPDTOPT,phase_SOPDTVDG,phase_FOPDTStrejc,phase_FOPDTBR,phase_FOPDTBR2
1.048339742541717803e-04,-9.916637430062925418e+00,-9.886764289756925450e+00,-1.105764740124180534e+01,-1.105720787935283234e+01,-1.105820236629398323e+01,-1.105736056178576732e+01,-1.019737162442743372e+00,-1.012640978524611990e+00,-5.868275799827548100e-01,-7.590046450714387216e-01,-1.129124133029670629e+00,-8.306799643901657815e-01
1.049547504159720359e-04,-9.916639870600469919e+00,-9.886766774538113367e+00,-1.105764926401120718e+01,-1.105720872891434325e+01,-1.105820550813808190e+01,-1.105736176329767417e+01,-1.020911804096531261e+00,-1.013807442709555584e+00,-5.875035812360506204e-01,-7.598790478060292175e-01,-1.130424718931188011e+00,-8.316369085809499628e-01
1.050756657204631367e-04,-9.916642316763221388e+00,-9.886769265046487121e+00,-1.105765113107463904e+01,-1.105720958043440838e+01,-1.105820865722331625e+01,-1.105736296757930504e+01,-1.022087798440292294e+00,-1.014975250155967901e+00,-5.881803610634477320e-01,-7.607544578301909111e-01,-1.131726802352037708e+00,-8.325949550387067299e-01
1.051967203279471116e-04,-9.916644768564143675e+00,-9.886771761295248595e+00,-1.105765300244199523e+01,-1.105721043391754321e+01,-1.105821181356638760e+01,-1.105736417463702637e+01,-1.023265147030411493e+00,-1.016144402409347114e+00,-5.888579203611314927e-01,-7.616308763040998686e-01,-1.133030385014533792e+00,-8.335541050326304990e-01
1.053179143989109678e-04,-9.916647226016227279e+00,-9.886774263297622767e+00,-1.105765487812320380e+01,-1.105721128936826858e+01,-1.105821497718400259e+01,-1.105736538447724726e+01,-1.024443851425062668e+00,-1.017314901016965756e+00,-5.895362600263188702e-01,-7.625083043892696422e-01,-1.134335468642967859e+00,-8.345143598333771839e-01
1.054392480940266234e-04,-9.916649689132494672e+00,-9.886776771066866587e+00,-1.105765675812819815e+01,-1.105721214679113018e+01,-1.105821814809292647e+01,-1.105736659710637682e+01,-1.025623913184207980e+00,-1.018486747527873160e+00,-5.902153809572574517e-01,-7.633867432485509363e-01,-1.135642054963607483e+00,-8.354757207130653063e-01
1.055607215741507848e-04,-9.916652157926000299e+00,-9.886779284616270758e+00,-1.105765864246695074e+01,-1.105721300619066305e+01,-1.105822132630995824e+01,-1.105736781253084722e+01,-1.026805333869597714e+00,-1.019659943492891907e+00,-5.908952840532252226e-01,-7.642661940461308312e-01,-1.136950145704695769e+00,-8.364381889452737751e-01
1.056823350003258826e-04,-9.916654632409819925e+00,-9.886781803959154402e+00,-1.105766053114944469e+01,-1.105721386757143421e+01,-1.105822451185193778e+01,-1.105736903075710131e+01,-1.027988115044776940e+00,-1.020834490464629818e+00,-5.915759702145362287e-01,-7.651466579475398877e-01,-1.138259742596461344e+00,-8.374017658050489921e-01
1.058040885337794749e-04,-9.916657112597071944e+00,-9.886784329108870395e+00,-1.105766242418569867e+01,-1.105721473093800356e+01,-1.105822770473574224e+01,-1.105737025179159261e+01,-1.029172258275081964e+00,-1.022010389997471291e+00,-5.922574403425360234e-01,-7.660281361196470407e-01,-1.139570847371110585e+00,-8.383664525689017433e-01
1.059259823359252634e-04,-9.916659598500899619e+00,-9.886786860078792927e+00,-1.105766432158574553e+01,-1.105721559629495232e+01,-1.105823090497828609e+01,-1.105737147564079592e+01,-1.030357765127648539e+00,-1.023187643647587519e+00,-5.929396953396085523e-01,-7.669106297306678144e-01,-1.140883461762840279e+00,-8.393322505148129720e-01
1.060480165683625115e-04,-9.916662090134471086e+00,-9.886789396882338821e+00,-1.105766622335963945e+01,-1.105721646364686883e+01,-1.105823411259651934e+01,-1.105737270231119851e+01,-1.031544637171408318e+00,-1.024366252972933822e+00,-5.936227361091720445e-01,-7.677941399501592157e-01,-1.142197587507830292e+00,-8.402991609222308922e-01
1.061701913928770735e-04,-9.916664587510991780e+00,-9.886791939532944440e+00,-1.105766812951746303e+01,-1.105721733299835030e+01,-1.105823732760743994e+01,-1.105737393180930717e+01,-1.032732875977095510e+00,-1.025546219533254089e+00,-5.943065635556853410e-01,-7.686786679490281715e-01,-1.143513226344254896e+00,-8.412671850720786493e-01
1.062925069714407578e-04,-9.916667090643695559e+00,-9.886794488044094109e+00,-1.105767004006932552e+01,-1.105721820435401170e+01,-1.105824055002807960e+01,-1.105737516414163579e+01,-1.033922483117244218e+00,-1.026727544890080335e+00,-5.949911785846440093e-01,-7.695642148995258669e-01,-1.144830380012274995e+00,-8.422363242467491018e-01
1.064149634662123032e-04,-9.916669599545848257e+00,-9.886797042429284588e+00,-1.105767195502535039e+01,-1.105721907771846269e+01,-1.105824377987551443e+01,-1.105737639931471605e+01,-1.035113460166195321e+00,-1.027910230606738251e+00,-5.956765821025854502e-01,-7.704507819752554054e-01,-1.146149050254051005e+00,-8.432065797301127041e-01
1.065375610395372834e-04,-9.916672114230738799e+00,-9.886799602702049938e+00,-1.105767387439568950e+01,-1.105721995309634309e+01,-1.105824701716685077e+01,-1.105737763733509738e+01,-1.036305808700096476e+00,-1.029094278248347649e+00,-5.963627750170892305e-01,-7.713383703511719203e-01,-1.147469238813738412e+00,-8.441779528075165073e-01
1.066602998539479446e-04,-9.916674634711698744e+00,-9.886802168875965080e+00,-1.105767579819051605e+01,-1.105722083049228743e+01,-1.105825026191923577e+01,-1.105737887820934340e+01,-1.037499530296900785e+00,-1.030279689381820907e+00,-5.970497582367756406e-01,-7.722269812035793546e-01,-1.148790947437488219e+00,-8.451504447657828267e-01
1.067831800721642490e-04,-9.916677161002079188e+00,-9.886804740964619143e+00,-1.105767772642003166e+01,-1.105722170991095155e+01,-1.105825351414986990e+01,-1.105738012194402842e+01,-1.038694626536376342e+00,-1.031466465575872071e+00,-5.977375326713108006e-01,-7.731166157101393432e-01,-1.150114177873457821e+00,-8.461240568932185679e-01
1.069062018570931703e-04,-9.916679693115273864e+00,-9.886807318981645665e+00,-1.105767965909445394e+01,-1.105722259135700547e+01,-1.105825677387597494e+01,-1.105738136854574805e+01,-1.039891099000099794e+00,-1.032654608401011753e+00,-5.984260992314047733e-01,-7.740072750498668830e-01,-1.151438931871803462e+00,-8.470987904796077883e-01
1.070293653718298047e-04,-9.916682231064688935e+00,-9.886809902940708383e+00,-1.105768159622402891e+01,-1.105722347483511392e+01,-1.105826004111482064e+01,-1.105738261802111033e+01,-1.041088949271466779e+00,-1.033844119429556008e+00,-5.991154588288153393e-01,-7.748989604031364387e-01,-1.152765211184691108e+00,-8.480746468162217999e-01
1.071526707796567070e-04,-9.916684774863780305e+00,-9.886812492855494128e+00,-1.105768353781902746e+01,-1.105722436034995759e+01,-1.105826331588371580e+01,-1.105738387037673931e+01,-1.042288178935684817e+00,-1.035035000235621228e+00,-5.998056123763456648e-01,-7.757916729516780574e-01,-1.154093017566289792e+00,-8.490516271958137295e-01
1.072761182440448800e-04,-9.916687324526026970e+00,-9.886815088739728807e+00,-1.105768548388974359e+01,-1.105722524790624206e+01,-1.105826659820000835e+01,-1.105738512561927323e+01,-1.043488789579785303e+00,-1.036227252395133025e+00,-6.004965607878499645e-01,-7.766854138785855843e-01,-1.155422352772783601e+00,-8.500297329126255130e-01
1.073997079286536521e-04,-9.916689880064943452e+00,-9.886817690607164977e+00,-1.105768743444648372e+01,-1.105722613750866934e+01,-1.105826988808109590e+01,-1.105738638375536453e+01,-1.044690782792619288e+00,-1.037420877485824233e+00,-6.011883049782316135e-01,-7.775801843683141090e-01,-1.156753218562367680e+00,-8.510089652623885614e-01
1.075234399973305560e-04,-9.916692441494062038e+00,-9.886820298471597823e+00,-1.105768938949959335e+01,-1.105722702916196098e+01,-1.105827318554440097e+01,-1.105738764479168523e+01,-1.045894160164857478e+00,-1.038615877087235795e+00,-6.018808458634437031e-01,-7.784759856066791883e-01,-1.158085616695248898e+00,-8.519893255423214296e-01
1.076473146141123581e-04,-9.916695008826959423e+00,-9.886822912346836745e+00,-1.105769134905943929e+01,-1.105722792287082967e+01,-1.105827649060739049e+01,-1.105738890873491798e+01,-1.047098923289000894e+00,-1.039812252780724533e+00,-6.025741843604944803e-01,-7.793728187808657282e-01,-1.159419548933656507e+00,-8.529708150511375875e-01
1.077713319432243406e-04,-9.916697582077237172e+00,-9.886825532246739101e+00,-1.105769331313640791e+01,-1.105722881864002716e+01,-1.105827980328757576e+01,-1.105739017559175963e+01,-1.048305073759373318e+00,-1.041010006149456935e+00,-6.032683213874423522e-01,-7.802706850794220994e-01,-1.160755017041833259e+00,-8.539534350890414238e-01
1.078954921490814261e-04,-9.916700161258537705e+00,-9.886828158185185345e+00,-1.105769528174090688e+01,-1.105722971647430164e+01,-1.105828312360250720e+01,-1.105739144536893548e+01,-1.049512613172131514e+00,-1.042209138778421806e+00,-6.039632578634039906e-01,-7.811695856922667991e-01,-1.162092022786049395e+00,-8.549371869577355731e-01
1.080197953962875408e-04,-9.916702746384522982e+00,-9.886830790176091455e+00,-1.105769725488337230e+01,-1.105723061637841553e+01,-1.105828645156977608e+01,-1.105739271807316371e+01,-1.050721543125260116e+00,-1.043409652254419839e+00,-6.046589947085487804e-01,-7.820695218106862301e-01,-1.163430567934593318e+00,-8.559220719604169192e-01
1.081442418496365360e-04,-9.916705337468892267e+00,-9.886833428233394727e+00,-1.105769923257426335e+01,-1.105723151835713303e+01,-1.105828978720700562e+01,-1.105739399371120157e+01,-1.051931865218580509e+00,-1.044611548166076931e+00,-6.053555328441052596e-01,-7.829704946273401411e-01,-1.164770654257783811e+00,-8.569080914017829231e-01
1.082688316741121476e-04,-9.916707934525373247e+00,-9.886836072371085749e+00,-1.105770121482407120e+01,-1.105723242241523963e+01,-1.105829313053187590e+01,-1.105739527228981167e+01,-1.053143581053747946e+00,-1.045814828103840854e+00,-6.060528731923605639e-01,-7.838725053362607387e-01,-1.166112283527968252e+00,-8.578952465880322897e-01
1.083935650348878601e-04,-9.916710537567732686e+00,-9.886838722603171092e+00,-1.105770320164329235e+01,-1.105723332855752972e+01,-1.105829648156209366e+01,-1.105739655381576370e+01,-1.054356692234255322e+00,-1.047019493659981926e+00,-6.067510166766594271e-01,-7.847755551328531309e-01,-1.167455457519521289e+00,-8.588835388268627469e-01
1.085184420973278423e-04,-9.916713146609751561e+00,-9.886841378943691083e+00,-1.105770519304246413e+01,-1.105723423678881190e+01,-1.105829984031541535e+01,-1.105739783829585221e+01,-1.055571200365436058e+00,-1.048225546428599664e+00,-6.074499642214099548e-01,-7.856796452139008791e-01,-1.168800178008854607e+00,-8.598729694274798163e-01
1.086434630269864050e-04,-9.916715761665271245e+00,-9.886844041406726902e+00,-1.105770718903214167e+01,-1.105723514711389122e+01,-1.105830320680962942e+01,-1.105739912573688954e+01,-1.056787107054463659e+00,-1.049432988005620127e+00,-6.081497167520797387e-01,-7.865847767775631105e-01,-1.170146446774412263e+00,-8.608635397005911516e-01
1.087686279896089766e-04,-9.916718382748134886e+00,-9.886846710006381045e+00,-1.105770918962291027e+01,-1.105723605953760291e+01,-1.105830658106257580e+01,-1.105740041614569691e+01,-1.058004413910358599e+00,-1.050641819988802128e+00,-6.088502751952016290e-01,-7.874909510233802923e-01,-1.171494265596678686e+00,-8.618552509584147536e-01
1.088939371511314934e-04,-9.916721009872235371e+00,-9.886849384756800418e+00,-1.105771119482536413e+01,-1.105723697406478401e+01,-1.105830996309212289e+01,-1.105740170952912393e+01,-1.059223122543983209e+00,-1.051852043977735685e+00,-6.095516404783711817e-01,-7.883981691522707891e-01,-1.172843636258174671e+00,-8.628481045146749739e-01
1.090193906776815380e-04,-9.916723643051499337e+00,-9.886852065672144363e+00,-1.105771320465014185e+01,-1.105723789070028573e+01,-1.105831335291618878e+01,-1.105740300589401315e+01,-1.060443234568052784e+00,-1.053063661573848231e+00,-6.102538135302514322e-01,-7.893064323665391901e-01,-1.174194560543468935e+00,-8.638421016846103972e-01
1.091449887355776347e-04,-9.916726282299867634e+00,-9.886854752766634391e+00,-1.105771521910789801e+01,-1.105723880944895932e+01,-1.105831675055274133e+01,-1.105740430524724260e+01,-1.061664751597128253e+00,-1.054276674380401291e+00,-6.109567952805702307e-01,-7.902157418698703140e-01,-1.175547040239168339e+00,-8.648372437849685124e-01
1.092707314913302113e-04,-9.916728927631339729e+00,-9.886857446054497345e+00,-1.105771723820930141e+01,-1.105723973031568441e+01,-1.105832015601976437e+01,-1.105740560759570279e+01,-1.062887675247626174e+00,-1.055491084002497582e+00,-6.116605866601249053e-01,-7.911260988673376460e-01,-1.176901077133931661e+00,-8.658335321340132618e-01
