t,MV,PV,DV
1.590000000000000000e+02,5.000000000000000000e+01,4.642199999999999704e+01,7.000000000000000000e+01
1.600000000000000000e+02,5.000000000000000000e+01,4.645400000000000063e+01,7.000000000000000000e+01
1.610000000000000000e+02,5.000000000000000000e+01,4.648599999999999710e+01,7.000000000000000000e+01
1.620000000000000000e+02,5.000000000000000000e+01,4.651899999999999835e+01,7.000000000000000000e+01
1.630000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,7.000000000000000000e+01
1.640000000000000000e+02,5.000000000000000000e+01,4.667999999999999972e+01,7.000000000000000000e+01
1.650000000000000000e+02,5.000000000000000000e+01,4.671200000000000330e+01,7.000000000000000000e+01
1.660000000000000000e+02,5.000000000000000000e+01,4.671200000000000330e+01,7.000000000000000000e+01
1.670000000000000000e+02,5.000000000000000000e+01,4.687299999999999756e+01,7.000000000000000000e+01
1.680000000000000000e+02,5.000000000000000000e+01,4.693800000000000239e+01,7.000000000000000000e+01
1.690000000000000000e+02,5.000000000000000000e+01,4.696999999999999886e+01,7.000000000000000000e+01
1.700000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,7.000000000000000000e+01
1.710000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,7.000000000000000000e+01
1.720000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,7.000000000000000000e+01
1.730000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,7.000000000000000000e+01
1.740000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,7.000000000000000000e+01
1.750000000000000000e+02,5.000000000000000000e+01,4.700200000000000244e+01,7.000000000000000000e+01
1.760000000000000000e+02,5.000000000000000000e+01,4.713100000000000023e+01,7.000000000000000000e+01
1.770000000000000000e+02,5.000000000000000000e+01,4.725999999999999801e+01,7.000000000000000000e+01
1.780000000000000000e+02,5.000000000000000000e+01,4.729200000000000159e+01,7.000000000000000000e+01
1.790000000000000000e+02,5.000000000000000000e+01,4.732399999999999807e+01,7.000000000000000000e+01
