t,MV,PV,DV
2.200000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.210000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.220000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.230000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.240000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.250000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.260000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.270000000000000000e+02,7.000000000000000000e+01,5.338300000000000267e+01,5.000000000000000000e+01
2.280000000000000000e+02,7.000000000000000000e+01,5.341499999999999915e+01,5.000000000000000000e+01
2.290000000000000000e+02,7.000000000000000000e+01,5.344700000000000273e+01,5.000000000000000000e+01
2.300000000000000000e+02,7.000000000000000000e+01,5.344700000000000273e+01,5.000000000000000000e+01
2.310000000000000000e+02,7.000000000000000000e+01,5.344700000000000273e+01,5.000000000000000000e+01
2.320000000000000000e+02,7.000000000000000000e+01,5.341499999999999915e+01,5.000000000000000000e+01
2.330000000000000000e+02,7.000000000000000000e+01,5.338300000000000267e+01,5.000000000000000000e+01
2.340000000000000000e+02,7.000000000000000000e+01,5.344700000000000273e+01,5.000000000000000000e+01
2.350000000000000000e+02,7.000000000000000000e+01,5.344700000000000273e+01,5.000000000000000000e+01
2.360000000000000000e+02,7.000000000000000000e+01,5.351200000000000045e+01,5.000000000000000000e+01
2.370000000000000000e+02,7.000000000000000000e+01,5.377000000000000313e+01,5.000000000000000000e+01
2.380000000000000000e+02,7.000000000000000000e+01,5.377000000000000313e+01,5.000000000000000000e+01
2.390000000000000000e+02,7.000000000000000000e+01,5.383400000000000318e+01,5.000000000000000000e+01
2.400000000000000000e+02,7.000000000000000000e+01,5.402700000000000102e+01,5.000000000000000000e+01
2.410000000000000000e+02,7.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
2.420000000000000000e+02,7.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
2.430000000000000000e+02,7.000000000000000000e+01,5.412400000000000233e+01,5.000000000000000000e+01
2.440000000000000000e+02,7.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
2.450000000000000000e+02,7.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
2.460000000000000000e+02,7.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
2.470000000000000000e+02,7.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
2.480000000000000000e+02,7.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
2.490000000000000000e+02,7.000000000000000000e+01,5.438199999999999790e+01,5.000000000000000000e+01
2.500000000000000000e+02,7.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
2.510000000000000000e+02,7.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
2.520000000000000000e+02,7.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
2.530000000000000000e+02,7.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
2.540000000000000000e+02,7.000000000000000000e+01,5.447899999999999920e+01,5.000000000000000000e+01
2.550000000000000000e+02,7.000000000000000000e+01,5.457500000000000284e+01,5.000000000000000000e+01
2.560000000000000000e+02,7.000000000000000000e+01,5.467199999999999704e+01,5.000000000000000000e+01
2.570000000000000000e+02,7.000000000000000000e+01,5.467199999999999704e+01,5.000000000000000000e+01
2.580000000000000000e+02,7.000000000000000000e+01,5.470400000000000063e+01,5.000000000000000000e+01
2.590000000000000000e+02,7.000000000000000000e+01,5.470400000000000063e+01,5.000000000000000000e+01
