tm,MVm,PVm
2.920000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.930000000000000000e+02,1.000000000000000000e+00,2.674750000000001293e-01
2.940000000000000000e+02,1.000000000000000000e+00,2.707000000000000517e-01
2.950000000000000000e+02,1.000000000000000000e+00,2.723000000000000975e-01
2.960000000000000000e+02,1.000000000000000000e+00,2.715000000000001856e-01
2.970000000000000000e+02,1.000000000000000000e+00,2.698750000000000315e-01
2.980000000000000000e+02,1.000000000000000000e+00,2.723000000000000975e-01
2.990000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.000000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
3.010000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
3.020000000000000000e+02,1.000000000000000000e+00,2.723000000000000975e-01
3.030000000000000000e+02,1.000000000000000000e+00,2.698750000000000315e-01
3.040000000000000000e+02,1.000000000000000000e+00,2.690750000000001196e-01
3.050000000000000000e+02,1.000000000000000000e+00,2.723000000000000975e-01
3.060000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
3.070000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.080000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.090000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.100000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.110000000000000000e+02,1.000000000000000000e+00,2.747250000000001080e-01
3.120000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.130000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.140000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.150000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
3.160000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
3.170000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.180000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.190000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.200000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.210000000000000000e+02,1.000000000000000000e+00,2.739250000000000296e-01
3.220000000000000000e+02,1.000000000000000000e+00,2.755250000000000199e-01
3.230000000000000000e+02,1.000000000000000000e+00,2.803500000000001546e-01
3.240000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.250000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
3.260000000000000000e+02,1.000000000000000000e+00,2.819750000000000867e-01
